°¡Á¤º°,¼ºº°,¿¬·Éº°,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,45 - 49¼¼,4061992,3926944,3828741,3865770,3944572,4041970,4074072,4026680,3855874,3685334,3495431,3350483,3290592,3299778,3315837,3407450,3515960,3596314,3652105,3700344,3670128,3619034,3546827,3491221,3409227,3264354,3102163,2970673,2793071,2627593,2563903,2559191,2523407,2518360,2561014,2576401,2555032,2539456,2538304,2489625,2406111,2294413,2183169,2037876,1884934,1760335,1658426,1568709,1494005,1438893,1409087
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,50 - 54¼¼,4489552,4525612,4459873,4367799,4202152,4057446,3927373,3825551,3863600,3943291,4041468,4074563,4028272,3858952,3689608,3500954,3356933,3297665,3307358,3324058,3416096,3525134,3606128,3662547,3711352,3681895,3631410,3559738,3504568,3423065,3278633,3116718,2985395,2808075,2642732,2579046,2574503,2539026,2534154,2577016,2592728,2571644,2556230,2555235,2506760,2423328,2311605,2200240,2054811,1901647,1776790
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,55 - 59¼¼,4113957,4070751,4246026,4292571,4384454,4451091,4489822,4421800,4332354,4169855,4027734,3900082,3800410,3839460,3919958,4018833,4052964,4007998,3840689,3673112,3486328,3343769,3285465,3295833,3313322,3405784,3515269,3596845,3653864,3703231,3674678,3625003,3554085,3499572,3418803,3275101,3113776,2982905,2806189,2641293,2577794,2573523,2538456,2533818,2576904,2592992,2572286,2557098,2556314,2508141,2424908
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,60 - 64¼¼,4148113,4258205,4211091,4155466,4042638,4045830,4005606,4176009,4224945,4318208,4386286,4426675,4361898,4275411,4116744,3977890,3853314,3756412,3796745,3878169,3977826,4013231,3969950,3805278,3640103,3455800,3315163,3258086,3269232,3287599,3380469,3490353,3572518,3630215,3680231,3652793,3604184,3534309,3480713,3400948,3258299,3097922,2967816,2792046,2627924,2564822,2560927,2526394,2522082,2565438,2581940
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,65 - 69¼¼,3063850,3274183,3509250,3688605,3937463,4022461,4133555,4087901,4037170,3930899,3937019,3901597,4071468,4122684,4217182,4286567,4328644,4267926,4185290,4031714,3897301,3776974,3683916,3726013,3808525,3908907,3945577,3904139,3742776,3580873,3400137,3262390,3207168,3219397,3238897,3332207,3442371,3525040,3583398,3634049,3607969,3560809,3492390,3440097,3361789,3220742,3061895,2933062,2758865,2596179,2533871
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,70 - 74¼¼,2164766,2234677,2322783,2527085,2753018,2919238,3124245,3351004,3528324,3771898,3856948,3967616,3926557,3881887,3784214,3793806,3764596,3933014,3986827,4082534,4153130,4197060,4141760,4064258,3917834,3789703,3675420,3587793,3632046,3715507,3816288,3854259,3815237,3658909,3502176,3327098,3193920,3141519,3155198,3176160,3269768,3379832,3462780,3521712,3572948,3548804,3503875,3437747,3387545,3311620,3173298
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,75 - 79¼¼,1596539,1637098,1723662,1820534,1912336,1988025,2059642,2145482,2341230,2553812,2713279,2908241,3123040,3295733,3529347,3612136,3720121,3684090,3647845,3563245,3577170,3557089,3721878,3778423,3874576,3945280,3990377,3942601,3871945,3736347,3617899,3513217,3434517,3482062,3566340,3666690,3705545,3669263,3520848,3372684,3207448,3082418,3034977,3050888,3074045,3167664,3276827,3359465,3418616,3470115,3449036
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,80¼¼ÀÌ»ó,2155978,2289858,2382540,2477683,2522199,2667343,2807907,2936935,3073495,3161051,3325288,3482404,3642320,3907917,4143340,4398893,4678492,4976979,5331351,5710019,5964917,6261283,6439563,6666413,6868319,7045122,7227939,7472140,7661086,7866016,8026726,8172480,8292820,8345100,8357303,8350323,8349002,8355098,8422448,8491524,8562264,8585389,8549121,8468876,8394914,8310959,8223952,8157403,8112309,8083376,8114530
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,80 - 84¼¼,1238755,1311746,1322888,1338962,1305676,1343140,1387561,1465132,1551816,1628432,1700342,1768443,1848045,2026780,2213886,2358541,2533024,2724128,2885798,3098927,3174324,3274550,3244378,3220461,3156498,3175184,3168324,3322974,3380958,3474671,3542613,3587253,3551490,3491781,3374834,3272988,3185068,3121919,3173940,3257485,3354382,3392824,3360385,3226890,3095500,2949986,2841142,2803012,2822291,2848758,2941057
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,85 - 89¼¼,646358,685925,737630,778346,817041,886264,946008,955427,967698,942066,979181,1020938,1082263,1150235,1203395,1264623,1322381,1387901,1534189,1678439,1794877,1932673,2082158,2218443,2391411,2449812,2531353,2506794,2497138,2460587,2482313,2490578,2621932,2676459,2759264,2816850,2855810,2835518,2791248,2703440,2627539,2566114,2526926,2581796,2659016,2744884,2779004,2751468,2644041,2542067,2431429
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,90 - 94¼¼,218926,235791,258561,289611,322117,351115,377656,408626,432609,455623,497877,533247,537883,544495,527781,557282,588413,626524,668422,695156,737563,776914,819836,916474,1003442,1077440,1162933,1254659,1347222,1459243,1492302,1544207,1525853,1527957,1516951,1535590,1552275,1642766,1683681,1742369,1780060,1806888,1801217,1774851,1723423,1679961,1649730,1636074,1684582,1743642,1805570
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,95 - 99¼¼,45030,48645,56005,63135,69231,77612,86041,95480,107596,119873,130867,140750,152846,162285,171415,189046,203015,203834,205956,198182,214335,229992,245912,263171,270952,291240,309299,328106,372180,407210,438894,474668,512798,556206,605687,615980,637869,627256,632862,634297,644477,657535,700968,721277,749465,765583,778085,779251,767798,747300,730784
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),ÀüÃ¼,100¼¼ ÀÌ»ó,6909,7751,7456,7629,8134,9212,10641,12270,13776,15057,17021,19026,21283,24122,26863,29401,31659,34592,36986,39315,43818,47154,47279,47864,46016,51446,56030,59607,63588,64305,70604,75774,80747,92697,100567,108915,117980,127639,140717,153933,155806,162028,159625,164062,167510,170545,175991,187598,193597,201609,205690
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,°è,25818686,25859888,25876776,25837903,25795052,25753184,25711849,25670259,25627273,25581979,25533877,25482355,25426558,25365537,25299055,25226848,25146147,25055270,24954651,24844377,24724984,24596640,24459520,24313819,24158908,23994470,23820596,23636945,23443302,23240251,23028412,22808799,22581760,22347707,22107905,21863691,21616063,21365813,21114313,20862429,20610866,20360655,20112015,19865280,19620983,19379441,19140643,18904218,18670107,18438434,18209029
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,0 - 4¼¼,766227,711053,663673,623974,594599,578964,575930,585299,604754,627677,647854,664942,678800,689554,697580,703448,705569,702614,695649,685538,672886,660260,649704,640572,632088,623423,613797,602581,589369,574030,556707,537794,517876,497671,477947,459439,442791,428505,416906,408125,402108,398637,397357,397815,399515,401955,404659,407213,409285,410634,411110
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,5 - 9¼¼,1097221,1039269,981805,906030,826640,760939,707080,659636,620392,591346,575885,572889,582186,601482,624199,644174,661092,674812,685459,693405,699213,701315,698391,691501,681493,668962,656461,646019,636986,628592,620019,610491,599391,586314,571128,553977,535253,515534,495533,476007,457687,441207,427068,415589,406901,400950,397517,396252,396711,398399,400814
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,10 - 14¼¼,1189663,1176998,1167483,1164900,1138230,1094074,1036505,979031,903678,824719,759398,705847,658668,619656,590786,575418,572432,581677,600880,623487,643361,660191,673840,684434,692339,698119,700209,697302,690459,680510,668046,655611,645226,636242,627897,619374,609899,598859,585853,570750,553691,535069,515457,495564,476144,457920,441529,427467,416049,407409,401491
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,15 - 19¼¼,1183580,1188393,1171771,1167856,1187673,1194359,1181519,1171897,1169384,1142857,1098895,1041593,984416,909424,830862,765890,712625,665691,626885,598183,582928,579990,589219,608356,630873,650659,667414,681006,691554,699427,705182,707263,704363,697550,687646,675240,662865,652534,643597,635295,626812,617381,606389,593440,578402,561419,542878,523352,503547,484213,466071
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,20 - 24¼¼,1620461,1548436,1486372,1390474,1303354,1268442,1263926,1243827,1240140,1259763,1266446,1253874,1244346,1241638,1215162,1171519,1114455,1057381,982659,904635,840228,787436,740904,702419,673963,658941,656237,665636,684794,707214,726872,743512,757003,767465,775274,780983,783035,780116,773281,763377,751022,738737,728498,719636,711396,702966,693580,682634,669740,654762,637852
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,25 - 29¼¼,1933726,1915057,1878599,1841645,1792831,1715998,1630727,1558462,1462990,1375902,1340900,1336168,1315841,1312243,1332072,1338814,1326198,1316875,1314598,1288363,1244920,1188266,1131748,1057456,979575,915175,862384,815861,777406,748958,733821,730888,740049,759069,781458,801131,817798,831324,841829,849679,855423,857523,854687,847966,838171,825876,813608,803372,794518,786294,777892
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,30 - 34¼¼,1796779,1883794,1938196,1969945,1996598,1976227,1940894,1897043,1860277,1811583,1734624,1649105,1576669,1481047,1393766,1358676,1354046,1333796,1330182,1350130,1357035,1344490,1335131,1332851,1306627,1263046,1206143,1149343,1074767,996582,931905,878887,832168,793541,764973,749798,746896,756135,775265,797782,817580,834353,847972,858552,866463,872261,874394,871556,864811,854976,842634
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,35 - 39¼¼,1808706,1750443,1731341,1744455,1757521,1812587,1878096,1925620,1957721,1984633,1964550,1929436,1885768,1849160,1800636,1723814,1638375,1566000,1470477,1383248,1348176,1343620,1323474,1319914,1339935,1346952,1334502,1325189,1322948,1296784,1253220,1196294,1139448,1064824,986569,921814,868732,821959,783285,754684,739498,736612,745886,765067,787647,807511,824343,838016,848642,856595,862429
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,40 - 44¼¼,2067075,2087030,2069513,1986113,1902383,1808708,1739757,1716248,1729692,1743081,1798310,1863987,1911735,1944070,1971204,1951455,1916627,1873224,1836849,1788569,1711992,1626759,1554540,1459209,1372105,1337075,1332594,1312568,1309078,1329174,1336314,1323982,1314743,1312583,1286521,1243021,1186132,1129291,1054675,976394,911590,858470,811667,772967,744345,729152,726273,735571,754794,777434,797363
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,45 - 49¼¼,2061862,1995415,1947890,1968894,2013504,2063068,2081918,2061835,1979393,1896422,1803493,1735080,1711916,1725612,1739327,1794736,1860626,1908678,1941339,1968765,1949439,1914967,1871880,1835776,1787784,1711480,1626467,1554397,1459249,1372248,1337234,1332832,1312960,1309561,1329760,1337059,1324874,1315722,1313654,1287710,1244271,1187407,1130553,1055918,977569,912671,859472,812606,773852,745189,729974
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,50 - 54¼¼,2258061,2281401,2252613,2207838,2123780,2051380,1988040,1938731,1960386,2005496,2055509,2074964,2055631,1974299,1892285,1800347,1732681,1710009,1724066,1738224,1793874,1860050,1908491,1941561,1969365,1950588,1916588,1873923,1838174,1790567,1714645,1629942,1558102,1463254,1376452,1341507,1337232,1317570,1314297,1334628,1342131,1330149,1321124,1319175,1293393,1250056,1193242,1136385,1061750,983347,918360
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,55 - 59¼¼,2068112,2034448,2117431,2142637,2188632,2227167,2252857,2223514,2180559,2098765,2028252,1966668,1918930,1941301,1986938,2037425,2057586,2039197,1959359,1878693,1788170,1721609,1699657,1714199,1728930,1784855,1851303,1900136,1933624,1961813,1943710,1910347,1868279,1833061,1786023,1710673,1626465,1555020,1460680,1374280,1339520,1335455,1316099,1313006,1333496,1341260,1329554,1320705,1318919,1293369,1250206
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,60 - 64¼¼,2042614,2101922,2082774,2062168,2015600,2017632,1987872,2068825,2095621,2142545,2181994,2208753,2181721,2140944,2062026,1993984,1934698,1889029,1912337,1958591,2009613,2030649,2013464,1935590,1856760,1768138,1703052,1682031,1697133,1712495,1768674,1835368,1884616,1918597,1947251,1929987,1897447,1856177,1821682,1775428,1700901,1617460,1546656,1453080,1367316,1332895,1329124,1310175,1307337,1328025,1336085
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,65 - 69¼¼,1478069,1584823,1700794,1787365,1908010,1952534,2013313,1996070,1978807,1936757,1940864,1914703,1995240,2023603,2071435,2111774,2139662,2115526,2077570,2002416,1937678,1881510,1838655,1863239,1910236,1961797,1983747,1967920,1892490,1816092,1730115,1667187,1647545,1663427,1679608,1736045,1802858,1852420,1886870,1915980,1899747,1868346,1828216,1794759,1749638,1676342,1594088,1524299,1431960,1347321,1313530
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,70 - 74¼¼,1012668,1045428,1087769,1185734,1294560,1376471,1479793,1590428,1675366,1792141,1836543,1896799,1882663,1869368,1833034,1839588,1818020,1897577,1927638,1976294,2017377,2046380,2025917,1991612,1921607,1861429,1809564,1770538,1796561,1844047,1895804,1918632,1904542,1832739,1760071,1678141,1618449,1600752,1617582,1634755,1691285,1757884,1807556,1842375,1871846,1857010,1827293,1788895,1757053,1713730,1642446
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,75 - 79¼¼,696606,722713,768879,816937,857801,896044,930457,971590,1063624,1163525,1240661,1336884,1439376,1520904,1630904,1673737,1732040,1721137,1712838,1684391,1693680,1678484,1755670,1787369,1836375,1877423,1906931,1891191,1861346,1798475,1744735,1699158,1666003,1694098,1741921,1793417,1816803,1804505,1737978,1671084,1595708,1541339,1526776,1544868,1563326,1619532,1685166,1734400,1769262,1798788,1786042
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,80¼¼ÀÌ»ó,737256,793265,829873,870938,893336,958590,1023165,1082203,1144489,1184767,1259699,1330663,1402652,1521232,1626839,1742049,1869415,2002047,2155866,2321445,2434414,2570664,2648835,2747761,2838853,2916408,2993203,3101304,3187364,3283243,3361409,3430611,3489446,3517711,3527406,3532085,3538534,3549390,3591346,3636471,3681892,3704626,3700054,3675503,3655415,3629665,3603923,3591320,3591877,3597949,3634730
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,80 - 84¼¼,476263,510831,518803,531274,524559,548322,575242,614795,655862,687998,723126,754889,791760,872733,956862,1024437,1107398,1195011,1269016,1365896,1403862,1456926,1449276,1447410,1430227,1442176,1435689,1506670,1538666,1585814,1624485,1652829,1643836,1620651,1569428,1526231,1490850,1466989,1497394,1544174,1593368,1616174,1606014,1548599,1492065,1428791,1384158,1374921,1394534,1414603,1469152
ÁßÀ§ Ãß°è(±âº» Ãß°è: Ãâ»êÀ²-ÁßÀ§ / ±â´ë¼ö¸í-ÁßÀ§ / ±¹Á¦¼øÀÌµ¿-ÁßÀ§),³²ÀÚ,85 - 89¼¼,201240,217654,238467,256289,274135,303962,329987,336056,345016,340707,361388,383895,412447,442065,462419,490387,515690,544103,605934,666085,716999,778371,842304,900876,974713,1002876,1044593,1039451,1042995,1037628,1050129,1052363,1110003,1138850,1179264,1211120,1234632,1232564,1217476,1182513,1153922,1132554,1121030,1151516,1192949,1235057,1254502,1246566,1203605,1163470,1119392
